date,close,volume,open,high,low,symbol
2020-06-30,2758.82,3769686,2685.065,2769.63,2675.03,AMZN
2020-06-29,2680.38,4223422,2690.01,2696.8,2630.08,AMZN
2020-06-26,2692.87,6500784,2775.056,2782.5688,2688.0,AMZN
2020-06-25,2754.58,2968657,2739.55,2756.23,2712.14,AMZN
2020-06-24,2734.4,4526605,2780.0,2796.0,2721.0,AMZN
2020-06-23,2764.41,4231707,2726.02,2783.11,2718.04,AMZN
2020-06-22,2713.82,3208780,2684.5,2715.0,2669.0,AMZN
2020-06-19,2675.01,5776963,2678.08,2697.43,2659.0,AMZN
2020-06-18,2653.98,2487774,2647.01,2659.64,2636.11,AMZN
2020-06-17,2640.98,2959316,2647.5,2655.0,2631.82,AMZN
2020-06-16,2615.27,3595649,2620.0,2620.0,2576.0,AMZN
2020-06-15,2572.68,3873335,2526.6,2584.0,2508.0001,AMZN
2020-06-12,2545.02,5436127,2601.21,2621.4766,2503.35,AMZN
2020-06-11,2557.96,5800107,2603.5,2671.38,2536.23,AMZN
2020-06-10,2647.45,4946031,2645.0,2722.35,2626.26,AMZN
2020-06-09,2600.86,5175950,2529.44,2626.43,2525.0,AMZN
2020-06-08,2524.06,3970654,2500.2,2530.0,2487.335,AMZN
2020-06-05,2483.0,3306445,2444.51,2488.645,2437.13,AMZN
2020-06-04,2460.6,2948710,2477.43,2507.54,2450.01,AMZN
2020-06-03,2478.4,2671024,2468.01,2488.0,2461.17,AMZN
2020-06-02,2472.41,2529903,2467.0,2473.53,2445.31,AMZN
2020-06-01,2471.04,2938032,2448.0,2476.93,2444.17,AMZN
2020-05-29,2442.37,3529329,2415.94,2442.37,2398.1973,AMZN
2020-05-28,2401.1,3193136,2384.33,2436.9699,2378.23,AMZN
2020-05-27,2410.39,5056945,2404.99,2413.58,2330.0,AMZN
2020-05-26,2421.86,3568153,2458.0,2462.0,2414.06,AMZN
2020-05-22,2436.88,2867079,2455.01,2469.85,2430.13,AMZN
2020-05-21,2446.74,5114403,2500.0,2525.45,2442.54,AMZN
2020-05-20,2497.94,3998143,2477.87,2500.01,2467.27,AMZN
2020-05-19,2449.33,4320498,2429.83,2484.995,2428.97,AMZN
2020-05-18,2426.26,4366572,2404.346,2433.0,2384.01,AMZN
2020-05-15,2409.78,4234951,2368.52,2411.0,2356.37,AMZN
2020-05-14,2388.85,3648128,2361.01,2391.37,2353.21,AMZN
2020-05-13,2367.92,4782919,2366.8,2407.7,2337.805,AMZN
2020-05-12,2356.95,3074916,2411.85,2418.9999,2355.0,AMZN
2020-05-11,2409.0,3259231,2374.7,2419.665,2372.11,AMZN
